id,frame,t,x,y,v,phi,phi_dot,a,car_width,car_height
1,1,0.04,362.26,26.62775417084993,37.115805228148645,0.14051343388657855,0.5311812946711888,25.171927162488572,4.85,2.12
2,1,0.04,162.75,26.153120903589457,29.250019820019553,3.140428516884633,-0.005560546698779589,15.625222450352627,4.24,1.92
3,1,0.04,182.08,26.142190728521026,32.75015285310676,-0.003055242151559945,-0.01770084026421519,15.62708701855744,3.94,1.92
4,1,0.04,267.34,26.149999961443235,39.49999999999961,-3.1415926450324347,3.4337410692586445e-08,12.499999999998401,5.05,2.22
5,1,0.04,309.4,26.25295445756872,39.0450470517485,3.0935522140633473,-0.4054925334810666,13.416211947399859,4.24,1.82
6,1,0.04,241.89,26.10983621679944,21.001439700067756,-0.011709246736399948,0.14892841525426515,9.347847991795621,11.82,2.5
7,1,0.04,151.54,26.1790489849163,29.750907358444845,0.007810079175557316,0.028927125872367097,9.382596456820202,4.75,2.02
8,1,0.04,239.05,26.493256323604918,29.479879578803917,3.016628641720315,-0.5417708307522862,11.662352393653652,5.76,2.43
9,1,0.04,317.48,26.102301420977923,33.000009527531205,3.1408327680687673,-0.003621328067637819,18.75010713846823,4.85,2.02
10,1,0.04,201.31,26.15000000326148,21.750000000000114,2.1420247797721004e-09,1.3751727472982712e-08,12.499999999997158,9.2,2.5
11,1,0.04,181.5,26.14998195609363,22.250000000764555,-8.291834725948632e-06,-3.556850430398833e-05,15.625000007870948,4.14,1.92
12,1,0.04,12.56,26.14999999997643,32.749999999999964,-9.86366543997974e-12,-6.16862601300694e-11,15.625000000001599,3.64,1.82
1,2,0.08,363.73,26.83567914860418,38.12268231464819,0.16176068567342616,0.8469050434369774,31.12549449556434,4.85,2.12
2,2,0.08,161.58,26.154482944149734,29.875028718033658,3.1402060950166817,-0.009659784820755135,17.18797034149759,4.24,1.92
3,2,0.08,183.39,26.138188348848942,33.37523633384906,-0.0037632757621284263,-0.03100741161612843,18.754649465868454,3.94,1.92
4,2,0.08,265.76,26.14999994792261,39.999999999999545,-3.1415926436589383,5.6568651984889584e-08,18.74999999999926,5.05,2.22
5,2,0.08,307.84,26.32795524981253,39.58169552964449,3.0773325127241042,-0.7225093789358539,22.607097607595733,4.24,1.82
6,2,0.08,242.73,26.1,21.37535361973958,-0.005752110126229226,0.14636558420502968,14.044503749158707,11.82,2.5
7,2,0.08,152.73,26.188343168109768,30.126211216717653,0.008967164210452072,0.04687555347767311,15.6395515242574,4.75,2.02
8,2,0.08,237.88,26.640230062651085,29.946373674550063,2.9949578084902235,-0.8715017643239662,16.90727456675495,5.76,2.43
9,2,0.08,316.16,26.10330447005871,33.750013813069934,3.140687914946062,-0.006264972473410069,21.875226306132674,4.85,2.02
10,2,0.08,202.18,26.15000000512504,22.25,2.692094103196041e-09,2.4941454640669722e-08,12.499999999998579,9.2,2.5
11,2,0.08,182.39,26.149974576360723,22.875000001079393,-9.714574897845552e-06,-5.942808032107804e-05,21.8750000159788,4.14,1.92
12,2,0.08,13.87,26.14999999996351,33.37500000000003,-1.2331025089906689e-11,-1.0842036497997013e-10,20.312500000001194,3.64,1.82
13,2,0.08,43.3,29.65827109154268,47.77495489775047,2.3405680706822087,-0.23631792770192342,48.093957173471054,5.66,2.02
14,2,0.08,277.64,26.1,38.00000000000097,0.0,3.679185686688394e-14,15.624999999987034,4.95,1.92
1,3,0.12,365.27,27.11894558356698,39.60584478779379,0.20826583736153692,1.2217429967868787,32.7040785535259,4.85,2.12
2,3,0.12,160.36,26.156434780702774,30.625057447339355,3.139655734098972,-0.016598410935088737,17.188580118467144,4.24,1.92
3,3,0.12,184.75,26.13214273480175,34.250524810376234,-0.005535835080850315,-0.055782369510288456,17.199242203081383,3.94,1.92
4,3,0.12,264.14,26.1499999296645,40.999999999999545,-3.1415926405069423,9.270634393487853e-08,21.875000000005798,5.05,2.22
5,3,0.12,306.24,26.456296470959767,40.85361486035615,3.035751463748479,-1.3376499951016498,33.26716943117117,4.24,1.82
6,3,0.12,243.6,26.1,22.125000000000455,2.6645352591003757e-15,0.071901376577865,15.6205797532553,11.82,2.5
7,3,0.12,153.95,26.20066042992632,31.002071480385435,0.011560123453771443,0.07694518584256389,17.2173890886707,4.75,2.02
8,3,0.12,236.68,26.84329331598886,30.83246154414431,2.9469085005743985,-1.3141359666352699,22.557570526441452,5.76,2.43
9,3,0.12,314.78,26.104744215982443,34.75002763202182,3.1403315702708934,-0.010986364453550834,18.750528239626647,4.85,2.02
10,3,0.12,203.09,26.150000008053407,22.75,4.137341580445764e-09,4.717162334665346e-08,7.8124999999943725,9.2,2.5
11,3,0.12,183.33,26.149964178421563,24.000000002042857,-1.3046081151379951e-05,-0.00010365004144143919,20.312500036150766,4.14,1.92
12,3,0.12,15.23,26.149999999943503,34.37500000000006,-1.8537171797561314e-11,-1.982513837957899e-10,20.312499999999716,3.64,1.82
13,3,0.12,41.97,31.030500702348156,49.69871318468931,2.3311153535741322,-0.087806725154703,54.12788627353655,5.66,2.02
14,3,0.12,279.16,26.1,38.625000000000455,1.3322676295501878e-15,1.276473956635241e-29,21.87499999997658,4.95,1.92
1,4,0.16,366.83,27.490802667241123,40.739008598930255,0.25950012541637646,1.199510921084833,30.630328122516573,4.85,2.12
2,4,0.16,159.13,26.159228402836533,31.250115127511027,3.138878222141874,-0.023463974124716458,14.064668572538892,4.24,1.92
3,4,0.16,186.13,26.123020005779647,34.751175710095566,-0.008225865322951442,-0.009398481050953186,12.502150143789152,3.94,1.92
4,4,0.16,262.48,26.14999990501085,41.75000000000001,-3.1415926362424305,1.257564008483314e-07,15.625000000000114,5.05,2.22
5,4,0.16,304.59,26.673229375419176,42.24306908413818,2.970320513115972,-2.0726398215682593,32.69307513577024,4.24,1.82
6,4,0.16,244.5,26.1,22.625,0.0,-3.2114925908608834e-14,9.375,11.82,2.5
7,4,0.16,155.21,26.217013551423545,31.503602343811302,0.015122779077857196,0.10640107614709118,7.86625430313876,4.75,2.02
8,4,0.16,235.46,27.117409675769096,31.750979316665376,2.8898269311594014,-1.4941873390094003,23.686711735323968,5.76,2.43
9,4,0.16,313.38,26.106810283543613,35.25005607224006,3.139809005789777,-0.015763437340289954,12.501075952557755,4.85,2.02
10,4,0.16,204.0,26.150000012655,22.874999999999545,6.4658238763115605e-09,7.323848378972746e-08,6.25,9.2,2.5
