id,frame,t,x,y,v,phi,phi_dot,a
18,251,10.0,217.76,34.63,40.74004418259754,0.006097485407680743,,0.21213203435596423
18,252,10.04,219.4,34.64,40.7500441717552,0.0,-0.15243713519201857,0.21213203435596423
18,253,10.08,221.03,34.64,40.76004416091818,0.0,0.0,0.21377558326431947
18,254,10.12,222.66,34.64,40.77004415008647,0.0,0.0,0.21377558326431947
18,255,10.16,224.3,34.64,40.78004413926008,0.0,0.0,0.215870331449229
18,256,10.2,225.93,34.64,40.790044128438986,0.006134892357874709,0.15337230894686774,0.22561028345356957
18,257,10.24,227.56,34.65,40.790044128438986,0.0,-0.15337230894686774,0.22561028345356957
18,258,10.28,229.19,34.65,40.8000441176232,0.0,0.0,0.22803508501982758
18,259,10.32,230.82,34.65,40.81006003426116,0.0,0.0,0.22803508501982758
18,260,10.36,232.44,34.65,40.82006001955411,0.0,0.0,0.2308679276123039
18,261,10.4,234.07,34.65,40.83006000485427,0.006134892357874709,0.15337230894686774,0.2308679276123039
18,262,10.44,235.7,34.66,40.84005999016162,0.0,-0.15337230894686774,0.2340939982143925
18,263,10.48,237.33,34.66,40.85007833529821,0.0,0.0,0.2340939982143925
18,264,10.52,238.96,34.66,40.86007831612661,0.0,0.0,0.22472205054244232
18,265,10.56,240.59,34.66,40.86007831612661,0.006134892357879068,0.1533723089469767,0.22847319317591724
18,266,10.6,242.22,34.67,40.87009909457034,0.0,-0.1533723089469767,0.22847319317591724
18,267,10.64,243.86,34.67,40.880099070330054,0.0,0.0,0.23259406699226012
18,268,10.68,245.51,34.67,40.89012227910305,0.0,0.0,0.223606797749979
18,269,10.72,247.14,34.67,40.90012224920605,0.006097485407680743,0.15243713519201857,0.223606797749979
18,270,10.76,248.78,34.68,40.91014788533524,0.0,-0.15243713519201857,0.22825424421026658
18,271,10.8,250.43,34.68,40.91014788533524,0.0,0.0,0.21954498400100148
18,272,10.84,252.07,34.68,40.92017595270089,0.006060531858309186,0.15151329645772965,0.22472205054244232
18,273,10.88,253.72,34.69,40.930206449515985,0.0,-0.15151329645772965,0.21633307652783934
18,274,10.92,255.36,34.69,40.9402063990889,0.0060605318583135965,0.1515132964578399,0.21633307652783934
18,275,10.96,257.01,34.7,40.94023937399487,0.0,-0.1515132964578399,0.20808652046684814
18,276,11.0,258.65,34.7,40.95027472435319,0.006097485407680637,0.15243713519201593,0.21400934559032697
18,277,11.04,260.29,34.71,40.960312498807916,0.0,-0.15243713519201593,0.20615528128088303
18,278,11.08,261.93,34.71,40.960312498807916,0.006060531858309291,0.15151329645773226,0.20615528128088303
18,279,11.12,263.58,34.72,40.970352695577326,0.0,-0.15151329645773226,0.1984943324127921
18,280,11.16,265.22,34.72,40.98039531288101,0.006097485407680848,0.1524371351920212,0.19104973174542803
18,281,11.2,266.86,34.73,40.98044045639334,0.0060605318583135965,-0.0009238387341812876,0.19104973174542803
18,282,11.24,268.51,34.74,40.990487920979916,0.0,-0.1515132964578399,0.18384776310850237
18,283,11.28,270.15,34.74,40.99053793255219,0.006097485407680637,0.15243713519201593,0.18384776310850237
18,284,11.32,271.79,34.75,41.00059023965387,0.006097485407680848,5.2692225582795515e-15,0.17691806012954134
18,285,11.36,273.43,34.76,41.0006451168759,0.0060605318583135965,-0.0009238387341812876,0.17691806012954134
18,286,11.4,275.08,34.77,41.010702261726756,0.006134892357874709,0.001859012489027821,0.17029386365926402
18,287,11.44,276.71,34.78,41.010762002186695,0.006097485407680637,-0.0009351737548518027,0.16278820596099705
18,288,11.48,278.35,34.79,41.02082398002264,0.006097485407680848,5.2692225582795515e-15,0.16278820596099705
18,289,11.52,279.99,34.8,41.02088858130696,0.0060974854076851805,1.0831179703130189e-13,0.14866068747318506
18,290,11.56,281.63,34.81,41.03095538736577,0.006097485407680848,-1.0831179703130189e-13,0.14866068747318506
18,291,11.6,283.27,34.82,41.03102484705933,0.006060531858309082,-0.000923838734294153,0.13453624047073712
18,292,11.64,284.92,34.83,41.03102484705933,0.0060974854076851805,0.0009238387344024648,0.13453624047073712
18,293,11.68,286.56,34.84,41.04109647658064,0.012047609854183416,0.14875311116245588,0.12727922061357855
18,294,11.72,288.22,34.86,41.041170792266634,0.006097485407680848,-0.14875311116256418,0.12041594578792295
18,295,11.76,289.86,34.87,41.04124754439124,0.0060605318583135965,-0.0009238387341812876,0.1131370849898476
18,296,11.8,291.51,34.88,41.05132640975197,0.012269322953795094,0.15521977738703743,0.1063014581273465
18,297,11.84,293.14,34.9,41.05132640975197,0.006024023516169161,-0.15613248594064832,0.09219544457292887
18,298,11.88,294.8,34.91,41.051408014829406,0.0060974854076851805,0.0018365472879004838,0.08602325267042628
18,299,11.92,296.44,34.92,41.05149205570974,0.012120618542087907,0.15057832836006815,0.0806225774829855
18,300,11.96,298.09,34.94,41.0614916923387,0.00609748540768497,-0.15057832836007343,0.07615773105863909
18,301,12.0,299.73,34.95,41.06157814794751,0.012194517448249492,0.15242580101411304,0.07280109889280519
18,302,12.04,301.37,34.97,41.06157814794751,0.012269322953799452,0.001870137638749006,0.0608276253029822
18,303,12.08,303.0,34.99,41.06157814794751,0.006134892357874709,-0.15336076489811856,0.06
18,304,12.12,304.63,35.0,41.071577763704184,0.012194517448253823,0.15149062725947784,0.0608276253029822
18,305,12.16,306.27,35.02,41.07166663285044,0.012269322953795094,0.0018701376385317752,0.06324555320336758
18,306,12.2,307.9,35.04,41.07166663285044,0.006097485407680637,-0.15429593865286143,0.07211102550927978
18,307,12.24,309.54,35.05,41.07166663285044,0.012120618542092213,0.1505783283602894,0.07810249675906655
18,308,12.28,311.19,35.07,41.08166622716269,0.012047609854187695,-0.001825217197612937,0.08485281374238571
